method,compliance_rate,seed,total_time
random,0.75,11,448.5
back_to_front,0.75,11,433.20000000000005
front_to_back,0.75,11,530.0500000000001
wilma,0.75,11,416.1
steffen_perfect,0.75,11,403.8
steffen_modified,0.75,11,406.5
random,0.75,12,425.45000000000005
back_to_front,0.75,12,414.85
front_to_back,0.75,12,567.5500000000001
wilma,0.75,12,423.70000000000005
steffen_perfect,0.75,12,419.3
steffen_modified,0.75,12,417.6
random,0.75,13,468.5
back_to_front,0.75,13,432.40000000000003
front_to_back,0.75,13,536.45
wilma,0.75,13,428.55
steffen_perfect,0.75,13,418.05
steffen_modified,0.75,13,419.05
random,0.75,14,437.35
back_to_front,0.75,14,423.45000000000005
front_to_back,0.75,14,545.85
wilma,0.75,14,421.6
steffen_perfect,0.75,14,396.55
steffen_modified,0.75,14,397.8
random,0.75,15,460.75
back_to_front,0.75,15,429.85
front_to_back,0.75,15,560.5
wilma,0.75,15,429.5
steffen_perfect,0.75,15,403.20000000000005
steffen_modified,0.75,15,400.0
random,0.75,16,443.90000000000003
back_to_front,0.75,16,440.55
front_to_back,0.75,16,567.4
wilma,0.75,16,407.90000000000003
steffen_perfect,0.75,16,390.55
steffen_modified,0.75,16,394.55
random,0.75,17,456.05
back_to_front,0.75,17,413.55
front_to_back,0.75,17,567.25
wilma,0.75,17,417.25
steffen_perfect,0.75,17,408.05
steffen_modified,0.75,17,396.0
random,0.75,18,453.95000000000005
back_to_front,0.75,18,446.0
front_to_back,0.75,18,551.95
wilma,0.75,18,412.25
steffen_perfect,0.75,18,390.85
steffen_modified,0.75,18,404.90000000000003
random,0.75,19,449.0
back_to_front,0.75,19,446.35
front_to_back,0.75,19,581.3000000000001
wilma,0.75,19,418.65000000000003
steffen_perfect,0.75,19,418.0
steffen_modified,0.75,19,421.20000000000005
random,0.5,0,464.5
back_to_front,0.5,0,466.85
front_to_back,0.5,0,508.25
wilma,0.5,0,441.25
steffen_perfect,0.5,0,438.0
steffen_modified,0.5,0,451.1
random,0.5,1,463.70000000000005
back_to_front,0.5,1,446.3
front_to_back,0.5,1,477.15000000000003
wilma,0.5,1,432.6
steffen_perfect,0.5,1,424.6
steffen_modified,0.5,1,420.85
random,0.5,2,466.3
back_to_front,0.5,2,428.85
front_to_back,0.5,2,518.2
wilma,0.5,2,430.25
steffen_perfect,0.5,2,401.1
steffen_modified,0.5,2,407.20000000000005
random,0.5,3,465.20000000000005
back_to_front,0.5,3,454.90000000000003
front_to_back,0.5,3,493.6
wilma,0.5,3,453.15000000000003
steffen_perfect,0.5,3,448.6
steffen_modified,0.5,3,436.1
random,0.5,4,476.25
back_to_front,0.5,4,466.05
front_to_back,0.5,4,526.6
wilma,0.5,4,457.75
steffen_perfect,0.5,4,458.95000000000005
steffen_modified,0.5,4,459.45000000000005
random,0.5,5,443.85
back_to_front,0.5,5,414.35
front_to_back,0.5,5,474.90000000000003
wilma,0.5,5,409.3
steffen_perfect,0.5,5,431.35
steffen_modified,0.5,5,409.8
random,0.5,6,477.40000000000003
back_to_front,0.5,6,436.5
front_to_back,0.5,6,495.3
wilma,0.5,6,435.75
steffen_perfect,0.5,6,435.35
steffen_modified,0.5,6,434.65000000000003
random,0.5,7,439.55
back_to_front,0.5,7,430.90000000000003
front_to_back,0.5,7,491.3
wilma,0.5,7,432.95000000000005
steffen_perfect,0.5,7,415.5
steffen_modified,0.5,7,417.45000000000005
random,0.5,8,455.75
back_to_front,0.5,8,426.90000000000003
front_to_back,0.5,8,495.85
wilma,0.5,8,408.70000000000005
steffen_perfect,0.5,8,405.5
steffen_modified,0.5,8,419.8
random,0.5,9,454.0
back_to_front,0.5,9,426.1
front_to_back,0.5,9,483.0
wilma,0.5,9,429.70000000000005
steffen_perfect,0.5,9,422.95000000000005
steffen_modified,0.5,9,427.15000000000003
random,0.5,10,439.75
back_to_front,0.5,10,429.75
front_to_back,0.5,10,477.70000000000005
wilma,0.5,10,429.20000000000005
steffen_perfect,0.5,10,419.65000000000003
steffen_modified,0.5,10,418.70000000000005
random,0.5,11,443.35
back_to_front,0.5,11,421.40000000000003
front_to_back,0.5,11,474.85
wilma,0.5,11,427.0
steffen_perfect,0.5,11,424.1
steffen_modified,0.5,11,411.0
random,0.5,12,448.8
back_to_front,0.5,12,435.1
front_to_back,0.5,12,523.4
wilma,0.5,12,413.55
steffen_perfect,0.5,12,416.40000000000003
steffen_modified,0.5,12,412.15000000000003
random,0.5,13,438.6
back_to_front,0.5,13,428.15000000000003
front_to_back,0.5,13,521.7
wilma,0.5,13,438.75
steffen_perfect,0.5,13,438.5
steffen_modified,0.5,13,427.05
random,0.5,14,439.35
back_to_front,0.5,14,431.35
front_to_back,0.5,14,479.05
wilma,0.5,14,423.05
steffen_perfect,0.5,14,405.70000000000005
steffen_modified,0.5,14,418.20000000000005
random,0.5,15,428.85
back_to_front,0.5,15,425.65000000000003
front_to_back,0.5,15,517.0500000000001
wilma,0.5,15,440.75
steffen_perfect,0.5,15,431.25
steffen_modified,0.5,15,431.85
random,0.5,16,477.8
back_to_front,0.5,16,422.55
front_to_back,0.5,16,553.45
wilma,0.5,16,431.1
steffen_perfect,0.5,16,418.15000000000003
steffen_modified,0.5,16,422.8
random,0.5,17,479.45000000000005
back_to_front,0.5,17,429.40000000000003
front_to_back,0.5,17,499.35
wilma,0.5,17,442.0
steffen_perfect,0.5,17,432.15000000000003
steffen_modified,0.5,17,431.90000000000003
random,0.5,18,461.40000000000003
back_to_front,0.5,18,453.8
front_to_back,0.5,18,524.9
wilma,0.5,18,421.3
steffen_perfect,0.5,18,413.1
