method,mean_time,std_time,n
steffen_perfect,371.00750000000005,3.1582921350828554,20
steffen_modified,378.8575,5.216453599706863,20
wilma,402.2375,9.637220540012665,20
back_to_front,443.01500000000004,12.25046830468985,20
random,455.91,12.992665947412513,20
front_to_back,615.0450000000001,18.45980626573371,20
