method,seed,total_time,seated_count,sqlite_path
wilma,10,455.3,180,/tmp/boarding_a9wyg_b9/wilma_10.sqlite
steffen_perfect,10,401.1,180,/tmp/boarding_k3yt4edv/steffen_perfect_10.sqlite
steffen_modified,10,382.75,180,/tmp/boarding_17vuhv93/steffen_modified_10.sqlite
random,11,506.70000000000005,180,/tmp/boarding_0ccza5t9/random_11.sqlite
back_to_front,11,504.55,180,/tmp/boarding_bc25i16y/back_to_front_11.sqlite
front_to_back,11,674.7,180,/tmp/boarding_0qlskxdx/front_to_back_11.sqlite
wilma,11,442.15000000000003,180,/tmp/boarding_xmdb6qk1/wilma_11.sqlite
steffen_perfect,11,388.5,180,/tmp/boarding_hom7bspu/steffen_perfect_11.sqlite
steffen_modified,11,373.25,180,/tmp/boarding_xatheeei/steffen_modified_11.sqlite
random,12,538.2,180,/tmp/boarding_tit_45xt/random_12.sqlite
back_to_front,12,507.05,180,/tmp/boarding_5rdg9kp6/back_to_front_12.sqlite
front_to_back,12,704.85,180,/tmp/boarding_hxgj0q6s/front_to_back_12.sqlite
wilma,12,447.20000000000005,180,/tmp/boarding_p62ejwha/wilma_12.sqlite
steffen_perfect,12,396.1,180,/tmp/boarding_16vb2svw/steffen_perfect_12.sqlite
steffen_modified,12,382.85,180,/tmp/boarding_vf5vwqn3/steffen_modified_12.sqlite
random,13,512.5,180,/tmp/boarding_x9bhk2rs/random_13.sqlite
back_to_front,13,472.45000000000005,180,/tmp/boarding_e6en9_ht/back_to_front_13.sqlite
front_to_back,13,667.5500000000001,180,/tmp/boarding_g7pucfbi/front_to_back_13.sqlite
wilma,13,458.90000000000003,180,/tmp/boarding_e5dy7lux/wilma_13.sqlite
steffen_perfect,13,407.0,180,/tmp/boarding_qrwrmvpc/steffen_perfect_13.sqlite
steffen_modified,13,393.5,180,/tmp/boarding_jmgg93be/steffen_modified_13.sqlite
random,14,492.45000000000005,180,/tmp/boarding_msxs6ehf/random_14.sqlite
back_to_front,14,456.5,180,/tmp/boarding_gzohaoy8/back_to_front_14.sqlite
front_to_back,14,658.3000000000001,180,/tmp/boarding_ie3f8m9k/front_to_back_14.sqlite
wilma,14,430.1,180,/tmp/boarding_1qvbiaod/wilma_14.sqlite
steffen_perfect,14,382.55,180,/tmp/boarding_ox2446d1/steffen_perfect_14.sqlite
steffen_modified,14,392.05,180,/tmp/boarding_8yr55k42/steffen_modified_14.sqlite
random,15,499.15000000000003,180,/tmp/boarding_0n92y67e/random_15.sqlite
back_to_front,15,526.6,180,/tmp/boarding_w7rnj3zh/back_to_front_15.sqlite
front_to_back,15,709.8000000000001,180,/tmp/boarding_5m8qcrsv/front_to_back_15.sqlite
wilma,15,431.25,180,/tmp/boarding_pvbvq_x8/wilma_15.sqlite
steffen_perfect,15,416.65000000000003,180,/tmp/boarding_hoo_9jn4/steffen_perfect_15.sqlite
steffen_modified,15,395.0,180,/tmp/boarding_xljh93rt/steffen_modified_15.sqlite
random,16,487.8,180,/tmp/boarding_d0z2q3d6/random_16.sqlite
back_to_front,16,491.90000000000003,180,/tmp/boarding_kjdb9fxb/back_to_front_16.sqlite
front_to_back,16,682.45,180,/tmp/boarding_30bf8rf3/front_to_back_16.sqlite
wilma,16,446.65000000000003,180,/tmp/boarding_foyrfnqj/wilma_16.sqlite
steffen_perfect,16,411.5,180,/tmp/boarding_q52wx2dw/steffen_perfect_16.sqlite
steffen_modified,16,400.95000000000005,180,/tmp/boarding_1turzy4v/steffen_modified_16.sqlite
random,17,496.25,180,/tmp/boarding_ztgcgoaw/random_17.sqlite
back_to_front,17,494.0,180,/tmp/boarding_xb2i2lvi/back_to_front_17.sqlite
front_to_back,17,663.85,180,/tmp/boarding_8ok5pjcy/front_to_back_17.sqlite
wilma,17,451.1,180,/tmp/boarding_cvn_oler/wilma_17.sqlite
steffen_perfect,17,394.85,180,/tmp/boarding_fhr31e2_/steffen_perfect_17.sqlite
steffen_modified,17,395.0,180,/tmp/boarding_ugapx5jz/steffen_modified_17.sqlite
random,18,530.8000000000001,180,/tmp/boarding_0fe1hd8k/random_18.sqlite
back_to_front,18,473.70000000000005,180,/tmp/boarding_9kbf1inh/back_to_front_18.sqlite
front_to_back,18,674.95,180,/tmp/boarding_ee4p1io5/front_to_back_18.sqlite
wilma,18,467.70000000000005,180,/tmp/boarding_d6_nd1lb/wilma_18.sqlite
steffen_perfect,18,402.75,180,/tmp/boarding_5r18wze0/steffen_perfect_18.sqlite
steffen_modified,18,399.8,180,/tmp/boarding_irbeusns/steffen_modified_18.sqlite
random,19,520.25,180,/tmp/boarding_zxvqj4sk/random_19.sqlite
back_to_front,19,482.55,180,/tmp/boarding_e85zzv67/back_to_front_19.sqlite
front_to_back,19,682.1,180,/tmp/boarding_fazrj4vq/front_to_back_19.sqlite
wilma,19,459.20000000000005,180,/tmp/boarding_1j444gk1/wilma_19.sqlite
steffen_perfect,19,403.55,180,/tmp/boarding_jsljlcs4/steffen_perfect_19.sqlite
steffen_modified,19,398.1,180,/tmp/boarding_o8_5lf5h/steffen_modified_19.sqlite
