method,seed,total_time,seated_count,sqlite_path
steffen_modified,11,374.8,180,/tmp/boarding_oogh8wxb/steffen_modified_11.sqlite
random,12,446.35,180,/tmp/boarding_r91nog_o/random_12.sqlite
back_to_front,12,436.05,180,/tmp/boarding_9dlc9vi2/back_to_front_12.sqlite
front_to_back,12,610.75,180,/tmp/boarding_up8r6et2/front_to_back_12.sqlite
wilma,12,386.3,180,/tmp/boarding_6utribq9/wilma_12.sqlite
steffen_perfect,12,368.05,180,/tmp/boarding_b8r7gddd/steffen_perfect_12.sqlite
steffen_modified,12,379.3,180,/tmp/boarding_6uiekvgn/steffen_modified_12.sqlite
random,13,456.5,180,/tmp/boarding_skh1cows/random_13.sqlite
back_to_front,13,431.05,180,/tmp/boarding_2kyyz0na/back_to_front_13.sqlite
front_to_back,13,609.0500000000001,180,/tmp/boarding_dgnoko4w/front_to_back_13.sqlite
wilma,13,400.05,180,/tmp/boarding_djfpet8d/wilma_13.sqlite
steffen_perfect,13,368.65000000000003,180,/tmp/boarding_tpo4ie19/steffen_perfect_13.sqlite
steffen_modified,13,378.65000000000003,180,/tmp/boarding_fu7zl8g2/steffen_modified_13.sqlite
random,14,464.0,180,/tmp/boarding_vwotw319/random_14.sqlite
back_to_front,14,423.55,180,/tmp/boarding_nvt0lqv6/back_to_front_14.sqlite
front_to_back,14,581.75,180,/tmp/boarding_7fdld_3p/front_to_back_14.sqlite
wilma,14,389.75,180,/tmp/boarding_gof3p30d/wilma_14.sqlite
steffen_perfect,14,368.75,180,/tmp/boarding_73v57rrv/steffen_perfect_14.sqlite
steffen_modified,14,375.45000000000005,180,/tmp/boarding_urrj66ld/steffen_modified_14.sqlite
random,15,456.15000000000003,180,/tmp/boarding_4oj6nw42/random_15.sqlite
back_to_front,15,458.45000000000005,180,/tmp/boarding_pojx982i/back_to_front_15.sqlite
front_to_back,15,635.1,180,/tmp/boarding_yk_ksv99/front_to_back_15.sqlite
wilma,15,412.95000000000005,180,/tmp/boarding_q61jn51y/wilma_15.sqlite
steffen_perfect,15,373.75,180,/tmp/boarding_lv27r41p/steffen_perfect_15.sqlite
steffen_modified,15,386.90000000000003,180,/tmp/boarding_etqeo57g/steffen_modified_15.sqlite
random,16,431.90000000000003,180,/tmp/boarding_emos5msg/random_16.sqlite
back_to_front,16,433.40000000000003,180,/tmp/boarding_px3tgqoc/back_to_front_16.sqlite
front_to_back,16,603.5,180,/tmp/boarding_5xuaagco/front_to_back_16.sqlite
wilma,16,396.05,180,/tmp/boarding__mnmagoi/wilma_16.sqlite
steffen_perfect,16,371.75,180,/tmp/boarding_y1ssllqo/steffen_perfect_16.sqlite
steffen_modified,16,374.1,180,/tmp/boarding_trz1zi9v/steffen_modified_16.sqlite
random,17,463.15000000000003,180,/tmp/boarding_f7hddz9q/random_17.sqlite
back_to_front,17,437.8,180,/tmp/boarding_fkef4abt/back_to_front_17.sqlite
front_to_back,17,634.8000000000001,180,/tmp/boarding_3nlsh332/front_to_back_17.sqlite
wilma,17,398.85,180,/tmp/boarding_wph9z62q/wilma_17.sqlite
steffen_perfect,17,375.15000000000003,180,/tmp/boarding_8bxl702p/steffen_perfect_17.sqlite
steffen_modified,17,380.40000000000003,180,/tmp/boarding_9irdttik/steffen_modified_17.sqlite
random,18,458.45000000000005,180,/tmp/boarding_fmic5nly/random_18.sqlite
back_to_front,18,453.40000000000003,180,/tmp/boarding_hnb_ld68/back_to_front_18.sqlite
front_to_back,18,622.85,180,/tmp/boarding_rkxcan__/front_to_back_18.sqlite
wilma,18,407.05,180,/tmp/boarding_35vzz09t/wilma_18.sqlite
steffen_perfect,18,369.20000000000005,180,/tmp/boarding_o96_l0cj/steffen_perfect_18.sqlite
steffen_modified,18,376.90000000000003,180,/tmp/boarding_7u9vgqq4/steffen_modified_18.sqlite
random,19,475.40000000000003,180,/tmp/boarding_32djjoe4/random_19.sqlite
back_to_front,19,440.40000000000003,180,/tmp/boarding_7xet31g3/back_to_front_19.sqlite
front_to_back,19,607.95,180,/tmp/boarding_agqx8zmp/front_to_back_19.sqlite
wilma,19,402.05,180,/tmp/boarding_l81tcwxq/wilma_19.sqlite
steffen_perfect,19,373.20000000000005,180,/tmp/boarding_wwvkstmu/steffen_perfect_19.sqlite
steffen_modified,19,377.5,180,/tmp/boarding_m8z54r39/steffen_modified_19.sqlite
