method,mean_time,std_time,n
steffen_modified,391.93500000000006,8.455146361831948,20
steffen_perfect,403.63500000000005,8.842289236807868,20
wilma,449.5875,15.983806566910811,20
back_to_front,490.80250000000007,18.732349411477557,20
random,511.34000000000003,16.64403322831529,20
front_to_back,688.5525,19.51510531681329,20
