method,group_fraction,seed,total_time
steffen_perfect,0.2,10,371.65000000000003
steffen_modified,0.2,10,384.6
random,0.2,11,465.20000000000005
back_to_front,0.2,11,448.20000000000005
front_to_back,0.2,11,586.9
wilma,0.2,11,402.85
steffen_perfect,0.2,11,369.95000000000005
steffen_modified,0.2,11,374.8
random,0.2,12,436.0
back_to_front,0.2,12,436.6
front_to_back,0.2,12,605.1
wilma,0.2,12,389.15000000000003
steffen_perfect,0.2,12,368.05
steffen_modified,0.2,12,379.3
random,0.2,13,457.05
back_to_front,0.2,13,417.90000000000003
front_to_back,0.2,13,600.75
wilma,0.2,13,404.5
steffen_perfect,0.2,13,371.25
steffen_modified,0.2,13,378.65000000000003
random,0.2,14,454.3
back_to_front,0.2,14,419.05
front_to_back,0.2,14,571.75
wilma,0.2,14,388.70000000000005
steffen_perfect,0.2,14,374.1
steffen_modified,0.2,14,375.45000000000005
random,0.2,15,458.70000000000005
back_to_front,0.2,15,440.5
front_to_back,0.2,15,619.6
wilma,0.2,15,403.55
steffen_perfect,0.2,15,374.15000000000003
steffen_modified,0.2,15,386.90000000000003
random,0.2,16,425.5
back_to_front,0.2,16,427.75
front_to_back,0.2,16,610.1
wilma,0.2,16,395.90000000000003
steffen_perfect,0.2,16,374.15000000000003
steffen_modified,0.2,16,374.1
random,0.2,17,466.05
back_to_front,0.2,17,430.15000000000003
front_to_back,0.2,17,619.85
wilma,0.2,17,404.15000000000003
steffen_perfect,0.2,17,379.90000000000003
steffen_modified,0.2,17,380.40000000000003
random,0.2,18,450.55
back_to_front,0.2,18,449.55
front_to_back,0.2,18,607.25
wilma,0.2,18,411.8
steffen_perfect,0.2,18,375.35
steffen_modified,0.2,18,376.90000000000003
random,0.2,19,468.45000000000005
back_to_front,0.2,19,435.0
front_to_back,0.2,19,591.5500000000001
wilma,0.2,19,396.40000000000003
steffen_perfect,0.2,19,373.20000000000005
steffen_modified,0.2,19,377.5
random,0.4,0,473.8
back_to_front,0.4,0,436.95000000000005
front_to_back,0.4,0,599.5500000000001
wilma,0.4,0,427.05
steffen_perfect,0.4,0,386.70000000000005
steffen_modified,0.4,0,386.40000000000003
random,0.4,1,460.70000000000005
back_to_front,0.4,1,437.25
front_to_back,0.4,1,572.45
wilma,0.4,1,407.65000000000003
steffen_perfect,0.4,1,375.15000000000003
steffen_modified,0.4,1,381.90000000000003
random,0.4,2,454.90000000000003
back_to_front,0.4,2,430.35
front_to_back,0.4,2,597.95
wilma,0.4,2,408.6
steffen_perfect,0.4,2,385.05
steffen_modified,0.4,2,386.65000000000003
random,0.4,3,463.15000000000003
back_to_front,0.4,3,428.35
front_to_back,0.4,3,592.6
wilma,0.4,3,422.05
steffen_perfect,0.4,3,383.5
steffen_modified,0.4,3,373.5
random,0.4,4,436.3
back_to_front,0.4,4,448.0
front_to_back,0.4,4,601.25
wilma,0.4,4,425.3
steffen_perfect,0.4,4,377.0
steffen_modified,0.4,4,387.8
random,0.4,5,446.35
back_to_front,0.4,5,445.55
front_to_back,0.4,5,591.6
wilma,0.4,5,395.15000000000003
steffen_perfect,0.4,5,382.3
steffen_modified,0.4,5,375.70000000000005
random,0.4,6,456.3
back_to_front,0.4,6,430.35
front_to_back,0.4,6,570.35
wilma,0.4,6,413.40000000000003
steffen_perfect,0.4,6,373.85
steffen_modified,0.4,6,378.15000000000003
random,0.4,7,423.5
back_to_front,0.4,7,408.20000000000005
front_to_back,0.4,7,556.95
wilma,0.4,7,392.70000000000005
steffen_perfect,0.4,7,374.05
steffen_modified,0.4,7,371.1
random,0.4,8,459.55
back_to_front,0.4,8,422.90000000000003
front_to_back,0.4,8,597.4
wilma,0.4,8,403.45000000000005
steffen_perfect,0.4,8,369.8
steffen_modified,0.4,8,374.15000000000003
random,0.4,9,454.8
back_to_front,0.4,9,419.1
front_to_back,0.4,9,578.5500000000001
wilma,0.4,9,402.75
steffen_perfect,0.4,9,384.55
steffen_modified,0.4,9,373.20000000000005
random,0.4,10,442.70000000000005
back_to_front,0.4,10,439.85
front_to_back,0.4,10,563.35
wilma,0.4,10,404.6
steffen_perfect,0.4,10,381.1
steffen_modified,0.4,10,384.6
random,0.4,11,457.0
back_to_front,0.4,11,443.15000000000003
front_to_back,0.4,11,574.75
wilma,0.4,11,408.0
steffen_perfect,0.4,11,374.65000000000003
steffen_modified,0.4,11,374.8
random,0.4,12,430.0
back_to_front,0.4,12,424.8
front_to_back,0.4,12,615.25
wilma,0.4,12,389.85
steffen_perfect,0.4,12,368.95000000000005
steffen_modified,0.4,12,379.3
random,0.4,13,461.25
back_to_front,0.4,13,413.15000000000003
front_to_back,0.4,13,580.0
wilma,0.4,13,406.90000000000003
steffen_perfect,0.4,13,375.90000000000003
steffen_modified,0.4,13,378.65000000000003
random,0.4,14,439.05
back_to_front,0.4,14,418.5
front_to_back,0.4,14,561.95
wilma,0.4,14,394.70000000000005
steffen_perfect,0.4,14,377.25
steffen_modified,0.4,14,375.45000000000005
random,0.4,15,444.05
back_to_front,0.4,15,440.85
front_to_back,0.4,15,602.0500000000001
wilma,0.4,15,400.65000000000003
steffen_perfect,0.4,15,375.65000000000003
steffen_modified,0.4,15,386.90000000000003
random,0.4,16,419.05
back_to_front,0.4,16,419.55
front_to_back,0.4,16,603.35
wilma,0.4,16,393.0
steffen_perfect,0.4,16,377.85
steffen_modified,0.4,16,374.1
random,0.4,17,461.3
back_to_front,0.4,17,426.05
front_to_back,0.4,17,609.5500000000001
wilma,0.4,17,401.15000000000003
steffen_perfect,0.4,17,384.35
steffen_modified,0.4,17,380.40000000000003
random,0.4,18,445.25
back_to_front,0.4,18,430.40000000000003
front_to_back,0.4,18,597.25
wilma,0.4,18,415.3
steffen_perfect,0.4,18,377.90000000000003
steffen_modified,0.4,18,376.90000000000003
random,0.4,19,452.70000000000005
back_to_front,0.4,19,430.55
front_to_back,0.4,19,587.1
wilma,0.4,19,396.90000000000003
steffen_perfect,0.4,19,374.20000000000005
steffen_modified,0.4,19,377.5
random,0.6,0,455.65000000000003
back_to_front,0.6,0,440.8
